route_id,route_short_name,route_long_name,route_type,route_text_color,route_color,agency_id
PRV99,PRV99,PANAJI - HARMAL via PEDNE,3,,,ktcl-goa-in
PRV29,PRV29,PANAJI - HIVRE,3,,,ktcl-goa-in
PRV28,PRV28,PANAJI - HIVRE via MAPUSA,3,,,ktcl-goa-in
PRV210E,PRV210E,PANAJI - HONDA,3,00b33c,,ktcl-goa-in
PNJ70,PNJ70,PANAJI - KALAY via CURCHOREM,3,,,ktcl-goa-in
PRV209E,PRV209E,PANAJI - HONDA,3,00b33c,,ktcl-goa-in
PNJ180,PNJ180,PANAJI - HRVL SIYA G,3,,,ktcl-goa-in
PNJ127IS,PNJ127IS,PANAJI - HUBALI via ANMOD,3,,,ktcl-goa-in
PRV85,PRV85,PANAJI - IBRAMPUR via ASSNODA,3,,,ktcl-goa-in
PRV86,PRV86,PANAJI - IBRAMPUR via KULAN,3,,,ktcl-goa-in
PRV146,PRV146,PANAJI - KADSHI,3,,,ktcl-goa-in
VSD17,VSD17,PANAJI - KADTARI via MARCEL,3,,,ktcl-goa-in
PNJ128IS,PNJ128IS,PANAJI - HOSPET via ANMOD,3,,,ktcl-goa-in
PNJ125IS,PNJ125IS,PANAJI - BELGAVI CBT via ANMOD,3,,,ktcl-goa-in
MRG40,MRG40,PANAJI - TIRVAN,3,,,ktcl-goa-in
MRG41,MRG41,PANAJI - TUDAL,3,,,ktcl-goa-in
VSD67IS,VSD67IS,SADA - VENGURLA via MALEWAD,3,,,ktcl-goa-in
PRV169,PRV169,SANKHALI - BHIRONDA via HONDA,3,,,ktcl-goa-in
PNJ43,PNJ43,SANKHALI - CIPLA,3,,,ktcl-goa-in
PNJ40,PNJ40,SANKHALI - GHADIWADA,3,,,ktcl-goa-in
PRV135S,PRV135S,SANKHALI - PANAJI MKT,3,,,ktcl-goa-in
PRV52,PRV52,SANKHALI - SURLA via KHODGINI,3,,,ktcl-goa-in
PRV133,PRV133,SANKHALI - V KERI via MARCEL,3,,,ktcl-goa-in
PNJ92,PNJ92,SANKHALI - VALPOI via ADVOI,3,,,ktcl-goa-in
PRV128,PRV128,SECRETARIAT - KALAY via CURCHOREM,3,,,ktcl-goa-in
PNJ203,PNJ203,ST.PEDRO - ST.PEDRO,3,,,ktcl-goa-in
PNJ86,PNJ86,ST.PEDRO - VANXIM FERY,3,,,ktcl-goa-in
VSD36,VSD36,SADA - RITE COLAGE via CORTALIM,3,,,ktcl-goa-in
