trip_id,route_id,service_id,trip_headsign,direction_id
I1:10:45:PNJ:I2:116,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:11:00:PNJ:I3:117,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:11:30:PNJ:I2:118,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:12:00:PNJ:I3:119,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:12:15:PNJ:I2:120,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:12:45:PNJ:I3:121,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:13:00:PNJ:I2:122,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:13:15:PNJ:I1:123,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:13:45:PNJ:I2:124,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:13:45:PNJ:I3:125,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:14:00:PNJ:I1:126,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:14:45:PNJ:I1:127,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:15:30:PNJ:I1:128,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:16:15:PNJ:I1:129,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:16:30:PNJ:I3:130,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:16:45:PNJ:I2:131,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:17:00:PNJ:I1:132,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:17:15:PNJ:I3:133,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:17:30:PNJ:I2:134,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:17:45:PNJ:I1:135,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:18:00:PNJ:I3:136,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:18:15:PNJ:I2:137,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:18:30:PNJ:I1:138,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:18:45:PNJ:I3:139,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:19:00:PNJ:I2:140,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:19:15:PNJ:I1:141,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:19:30:PNJ:I3:142,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
I1:19:45:PNJ:I2:143,I1,FULLW,Panaji Market (DB Marg)-TB Hospital-Caranzalem Football Ground-Neuro Rehab Centre,0
